train_loss,epoch,step,val_loss,val_acc
0.052948080003261566,0,49,,
0.3951762318611145,0,99,,
0.22263605892658234,0,149,,
0.2171618789434433,0,199,,
0.08976970613002777,0,249,,
0.10907407104969025,0,299,,
0.0867069661617279,0,349,,
0.3091382086277008,0,399,,
0.17999394237995148,0,449,,
0.13935957849025726,0,499,,
0.39128929376602173,0,549,,
0.14338168501853943,0,599,,
0.10710255801677704,0,649,,
0.09133321046829224,0,699,,
0.5890605449676514,0,749,,
0.07704508304595947,0,799,,
0.1016080379486084,0,849,,
0.009922757744789124,0,899,,
,0,899,0.14111760258674622,0.9511111378669739
0.13655759394168854,1,949,,
0.19320538640022278,1,999,,
0.2716081142425537,1,1049,,
0.022891178727149963,1,1099,,
0.04296353459358215,1,1149,,
0.2658350467681885,1,1199,,
0.08984550833702087,1,1249,,
0.015237445011734962,1,1299,,
0.34954673051834106,1,1349,,
0.0588977187871933,1,1399,,
0.1563677340745926,1,1449,,
0.01799747720360756,1,1499,,
0.09098726511001587,1,1549,,
0.03026670776307583,1,1599,,
0.05338488891720772,1,1649,,
0.05566513538360596,1,1699,,
0.07223231345415115,1,1749,,
0.10421489179134369,1,1799,,
,1,1799,0.11472885310649872,0.9593055844306946
0.0205579474568367,2,1849,,
0.2046108841896057,2,1899,,
0.06773938983678818,2,1949,,
0.06623288244009018,2,1999,,
0.03722681477665901,2,2049,,
0.35330459475517273,2,2099,,
0.1627662628889084,2,2149,,
0.026562996208667755,2,2199,,
0.0590125247836113,2,2249,,
0.13146764039993286,2,2299,,
0.21448543667793274,2,2349,,
0.03467441722750664,2,2399,,
0.06905964016914368,2,2449,,
0.05910360440611839,2,2499,,
0.020347103476524353,2,2549,,
0.2482272982597351,2,2599,,
0.4133845269680023,2,2649,,
0.022383220493793488,2,2699,,
,2,2699,0.1615222543478012,0.9436110854148865
0.15076494216918945,3,2749,,
0.15195250511169434,3,2799,,
0.008391081355512142,3,2849,,
0.0894051268696785,3,2899,,
0.08365444839000702,3,2949,,
0.06035175174474716,3,2999,,
0.04238572344183922,3,3049,,
0.01544076856225729,3,3099,,
