train_loss,epoch,step,val_loss,val_acc
1.4139262437820435,0,49,,
1.2220245599746704,0,99,,
1.5428131818771362,0,149,,
1.1800718307495117,0,199,,
0.9823755621910095,0,249,,
1.092822551727295,0,299,,
0.9224225878715515,0,349,,
1.0975655317306519,0,399,,
0.8991857767105103,0,449,,
0.8660135269165039,0,499,,
1.0341322422027588,0,549,,
1.053959846496582,0,599,,
1.049101710319519,0,649,,
1.07203209400177,0,699,,
1.708836555480957,0,749,,
1.165435552597046,0,799,,
1.541506290435791,0,849,,
1.3391762971878052,0,899,,
,0,899,1.8624151945114136,0.28680557012557983
1.2869850397109985,1,949,,
1.1769803762435913,1,999,,
0.9524495005607605,1,1049,,
0.9484414458274841,1,1099,,
0.8770465850830078,1,1149,,
0.7220317125320435,1,1199,,
0.9210842251777649,1,1249,,
2.2326149940490723,1,1299,,
1.6178934574127197,1,1349,,
1.2531059980392456,1,1399,,
1.1155736446380615,1,1449,,
1.06232488155365,1,1499,,
1.8500730991363525,1,1549,,
1.5455517768859863,1,1599,,
1.054413080215454,1,1649,,
1.1449726819992065,1,1699,,
1.2754026651382446,1,1749,,
1.427635908126831,1,1799,,
,1,1799,1.848914384841919,0.29124999046325684
0.9995222091674805,2,1849,,
1.1837695837020874,2,1899,,
1.0402408838272095,2,1949,,
1.1548717021942139,2,1999,,
1.3110626935958862,2,2049,,
0.9860934019088745,2,2099,,
1.2501921653747559,2,2149,,
1.2694512605667114,2,2199,,
1.6456197500228882,2,2249,,
0.9741862416267395,2,2299,,
0.9068220257759094,2,2349,,
0.8737927079200745,2,2399,,
0.5846495032310486,2,2449,,
0.5986042022705078,2,2499,,
0.8823049068450928,2,2549,,
1.0451130867004395,2,2599,,
1.608860969543457,2,2649,,
